Id	Site	Grid.10km	Expansion	ID	Block1PLS1	Block1PLS2	Block1PLS3	Block1PLS4	Block2PLS1	Block2PLS2	Block2PLS3	Block2PLS4
PA_1_WW_01_D_calibrated	WW	SX69	England	PA_1_WW_01_D_calibrated	0.016799752212900174	0.017431819107814907	-0.002116288417393114	-0.009909065265745576	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_02_D_calibrated	WW	SX69	England	PA_1_WW_02_D_calibrated	3.202651047385579E-4	0.02548433803131457	0.010616500261891003	0.005054961264696398	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_03_D_calibrated	WW	SX69	England	PA_1_WW_03_D_calibrated	0.009001234661346686	-0.013221357440022726	-0.02015790257178416	0.011218165005951618	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_04_D_calibrated	WW	SX69	England	PA_1_WW_04_D_calibrated	-0.006278584455756327	0.024072596430582575	0.00908534402093097	-0.00959289041274262	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_05_D_calibrated	WW	SX69	England	PA_1_WW_05_D_calibrated	0.010061693263286391	0.020179171734401445	-0.01493459223650017	0.018657078697677708	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_06_D_calibrated	WW	SX69	England	PA_1_WW_06_D_calibrated	0.01854861170628589	0.010982293174311267	-0.0022779454744386177	4.855063173292869E-4	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_07_D_calibrated	WW	SX69	England	PA_1_WW_07_D_calibrated	-8.513476540039399E-4	0.007682877153559719	0.002843215087095204	-0.006451136359790076	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_08_D_calibrated	WW	SX69	England	PA_1_WW_08_D_calibrated	0.0037839202484730274	0.033824947690488265	-0.0028990203242636346	-0.026856681003270644	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_09_D_calibrated	WW	SX69	England	PA_1_WW_09_D_calibrated	-0.013574372027557622	0.013970081009518097	0.016785229093402364	0.0013696633198552646	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_10_D_calibrated	WW	SX69	England	PA_1_WW_10_D_calibrated	0.003734631775098741	0.013575227716192413	-0.008958376905385272	-0.012220923000778006	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_11_D_calibrated	WW	SX69	England	PA_1_WW_11_D_calibrated	-2.7971578990348403E-5	0.015383275432761547	-0.001167896224419904	0.00476123898341932	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_12_D_calibrated	WW	SX69	England	PA_1_WW_12_D_calibrated	-0.0015004876236230844	0.008624748727879595	-0.00406244171419507	-0.008132894807813618	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_13_D_calibrated	WW	SX69	England	PA_1_WW_13_D_calibrated	-0.0038455240352362526	0.03063453969017961	-0.012578656581534058	0.013323090907824566	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_14_D_calibrated	WW	SX69	England	PA_1_WW_14_D_calibrated	-0.004781962607432123	0.016588623537541168	-0.004158379541789973	-0.010822539258587732	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_15_D_calibrated	WW	SX69	England	PA_1_WW_15_D_calibrated	0.01575423278862609	0.00601702286097326	0.006384048119166505	-0.009379318839927703	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_16_D_calibrated	WW	SX69	England	PA_1_WW_16_D_calibrated	0.0019584482176724237	-0.008262202315195987	-0.014001378116188845	-0.014617501575177678	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_17_D_calibrated	WW	SX69	England	PA_1_WW_17_D_calibrated	0.0038149595899254823	0.007367185237607603	-0.012594915107494739	0.0027773113135703097	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_18_D_calibrated	WW	SX69	England	PA_1_WW_18_D_calibrated	0.012183748987541399	-0.009317224777183065	-0.011195123643547935	-0.01117545971498751	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_19_D_calibrated	WW	SX69	England	PA_1_WW_19_D_calibrated	0.019123200358334473	0.011533780624433457	-0.005933355370222904	-0.019053308572735645	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_1_WW_20_D_calibrated	WW	SX69	England	PA_1_WW_20_D_calibrated	-0.0043946090411486035	0.008871205535744262	-0.012815567246942727	-0.005514403954430444	5.413972353413027	2.6719277195919067	-0.912921707776383	-0.8732619204548919
PA_3_MH_01_D_calibrated	MH	TL11	England	PA_3_MH_01_D_calibrated	0.002244507233603028	0.018539449579766613	0.011638678919422225	1.6067968869134082E-4	7.184183951318006	2.8532277022866666	1.3774450251780843	0.26083309903953467
PA_3_MH_02_D_calibrated	MH	TL11	England	PA_3_MH_02_D_calibrated	-0.005722900209536254	-0.008911282978939866	0.014362229820878482	-0.008772897515885726	7.184183951318006	2.8532277022866666	1.3774450251780843	0.26083309903953467
PA_3_MH_03_D_calibrated	MH	TL11	England	PA_3_MH_03_D_calibrated	-0.012385556481014685	0.02015786461219553	0.0031672249507620773	-0.009123177547402297	7.184183951318006	2.8532277022866666	1.3774450251780843	0.26083309903953467
