 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
676,ESM40_D_calibrated.png:wing,219508,88.10,37.88,20,224,590.98,722.74,689.51,405.34,137.60,739.35,19338690.00,19338690.00,374,449,140.93,434.10
677,ESM40_D_calibrated.png:cream,27791,167.95,29.46,76,224,555.04,690.82,192.53,183.79,102.16,726.57,4667551.00,4667551.00,386,441,133.16,429.40
678,ESM40_D_calibrated.png:brown,191717,76.52,21.41,20,190,602.42,732.89,655.48,372.40,137.58,739.35,14671139.00,14671139.00,374,449,140.93,434.10
679,ESM4_D_calibrated.png:wing,261185,94.70,35.44,18,249,542.59,639.01,758.07,438.68,136.21,827.62,24734812.00,24734812.00,308,324,136.57,468.76
680,ESM4_D_calibrated.png:cream,23825,178.60,25.02,97,249,518.92,607.53,188.71,160.75,102.57,810.56,4255066.00,4255066.00,293,364,139.35,456.04
681,ESM4_D_calibrated.png:brown,237360,86.28,23.28,18,199,547.50,645.55,733.40,412.07,136.60,827.62,20479746.00,20479746.00,308,324,136.57,468.76
682,ESM5_D_calibrated.png:wing,223353,114.35,36.03,26,234,492.43,709.82,706.81,402.35,142.46,794.73,25541520.00,25541520.00,235,449,140.36,441.40
683,ESM5_D_calibrated.png:cream,27858,181.89,22.29,88,234,479.43,693.40,219.05,161.93,118.37,778.85,5066973.00,5066973.00,244,442,140.16,427.22
684,ESM5_D_calibrated.png:brown,195495,104.73,25.89,26,216,495.65,713.88,674.23,369.18,143.52,794.73,20474547.00,20474547.00,235,449,140.36,441.40
685,ESM6_D_calibrated.png:wing,259746,85.82,39.96,17,225,474.97,691.61,757.38,436.66,137.38,851.00,22291187.00,22291187.00,217,372,137.86,474.30
686,ESM6_D_calibrated.png:cream,28667,175.86,28.14,69,225,442.82,662.92,238.79,152.85,99.93,840.92,5041384.00,5041384.00,216,382,138.52,467.66
687,ESM6_D_calibrated.png:brown,231079,74.65,23.79,17,202,484.36,699.99,726.96,404.73,138.80,851.00,17249803.00,17249803.00,217,372,137.86,474.30
688,ESM7_D_calibrated.png:wing,219194,87.25,37.62,17,246,518.31,776.58,702.61,397.21,136.54,766.46,19125753.00,19125753.00,296,479,137.38,431.34
689,ESM7_D_calibrated.png:cream,21013,176.08,27.78,87,246,486.55,759.12,193.37,138.36,97.81,745.34,3699892.00,3699892.00,305,472,134.35,424.26
690,ESM7_D_calibrated.png:brown,198181,77.84,23.63,17,213,525.91,780.76,681.34,370.34,137.38,766.46,15425861.00,15425861.00,296,479,137.38,431.34
691,ESM8_D_calibrated.png:wing,239417,76.16,39.76,14,234,535.80,669.03,706.25,431.62,134.34,791.32,18233026.00,18233026.00,311,352,135.77,458.55
692,ESM8_D_calibrated.png:cream,25229,168.21,26.41,82,234,515.87,639.54,207.39,154.89,123.45,777.95,4243825.00,4243825.00,309,361,133.96,444.61
693,ESM8_D_calibrated.png:brown,214188,65.31,23.85,14,203,541.83,677.97,673.61,404.85,134.81,791.32,13989201.00,13989201.00,311,352,135.77,458.55
694,ESM9_D_calibrated.png:wing,230811,96.33,35.66,20,241,514.57,674.67,709.67,414.11,139.56,778.99,22233145.00,22233145.00,272,398,141.31,445.78
695,ESM9_D_calibrated.png:cream,18548,184.41,24.48,99,241,481.66,636.17,176.33,133.93,135.87,765.11,3420476.00,3420476.00,272,407,141.05,437.41
696,ESM9_D_calibrated.png:brown,212263,88.63,24.36,20,210,520.55,681.67,684.27,394.96,139.64,778.99,18812669.00,18812669.00,272,398,141.31,445.78
697,PA_10_HRC_01_D_calibrated.png:wing,229810,65.15,36.06,15,206,561.70,649.15,706.54,414.14,133.79,782.79,14972882.00,14972882.00,335,337,134.53,452.30
698,PA_10_HRC_01_D_calibrated.png:cream,21368,156.54,26.82,65,206,540.41,617.58,177.35,153.41,127.08,735.78,3344990.00,3344990.00,329,348,133.13,445.99
699,PA_10_HRC_01_D_calibrated.png:brown,208442,55.78,20.40,15,174,567.84,658.25,681.22,389.59,133.93,782.79,11627892.00,11627892.00,335,337,134.53,452.30
700,PA_10_HRC_02_D_calibrated.png:wing,252542,69.55,42.44,15,214,579.19,629.31,731.29,439.70,129.00,801.56,17564367.00,17564367.00,373,289,130.45,482.58
701,PA_10_HRC_02_D_calibrated.png:cream,32410,162.83,29.36,40,214,547.46,580.33,232.27,177.66,129.15,793.86,5277434.00,5277434.00,412,263,124.53,477.04
702,PA_10_HRC_02_D_calibrated.png:brown,220132,55.82,21.66,15,190,592.84,650.39,689.09,406.74,129.10,801.56,12286933.00,12286933.00,373,289,130.45,482.58
