 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
300,CNM11_V_calibrated.png:whole_wing,232300,160.80,28.29,53,231,624.16,473.87,6.25,647.33,37353744.00,37353744.00,175.82,521.40,0.18,511.31
301,CNM12_V_calibrated.png:edge3rd,87990,115.40,33.86,38,228,513.03,218.38,92.64,547.76,10153671.00,10153671.00,324.15,239.06,97.26,234.48
302,CNM12_V_calibrated.png:mid3rd,117956,148.66,36.02,51,240,592.93,253.30,86.46,580.21,17535634.00,17535634.00,396.15,781.84,66.12,235.00
303,CNM12_V_calibrated.png:bot3rd,62160,151.86,26.73,41,225,371.90,212.81,94.26,452.61,9439394.00,9439394.00,630.67,701.63,82.94,234.88
304,CNM12_V_calibrated.png:whole_wing,267570,138.50,37.08,38,240,651.42,522.98,15.41,702.39,37058411.00,37058411.00,162.52,475.11,179.56,557.06
305,CNM13_V_calibrated.png:edge3rd,86832,126.81,26.82,51,226,513.70,215.22,90.80,558.34,11011189.00,11011189.00,468.02,758.87,89.25,228.09
306,CNM13_V_calibrated.png:mid3rd,112084,158.11,33.39,47,242,555.89,256.72,89.86,553.43,17722112.00,17722112.00,477.00,754.82,89.96,229.00
307,CNM13_V_calibrated.png:bot3rd,63262,154.16,28.25,51,218,363.11,221.82,91.44,416.32,9752215.00,9752215.00,706.75,689.24,89.92,228.08
308,CNM13_V_calibrated.png:whole_wing,262178,146.79,33.28,47,242,651.63,512.28,1.10,685.19,38485516.00,38485516.00,248.91,494.60,179.60,539.98
309,CNM14_V_calibrated.png:edge3rd,89106,143.79,27.38,49,233,523.08,216.89,90.87,571.61,12812523.00,12812523.00,467.27,771.58,89.96,238.43
310,CNM14_V_calibrated.png:mid3rd,117348,172.04,23.37,55,233,569.46,262.38,87.44,577.59,20188187.00,20188187.00,474.00,775.13,89.55,239.00
311,CNM14_V_calibrated.png:bot3rd,71075,165.75,27.02,49,228,400.13,226.17,93.13,442.29,11780853.00,11780853.00,706.76,258.52,90.06,238.04
312,CNM14_V_calibrated.png:whole_wing,277400,161.35,28.48,49,233,670.92,526.44,2.31,714.50,44758166.00,44758166.00,229.57,509.83,0.48,556.91
313,CNM16_V_calibrated.png:edge3rd,84537,171.15,20.72,56,233,500.27,215.15,89.26,544.78,14468426.00,14468426.00,457.09,751.22,88.93,231.79
314,CNM16_V_calibrated.png:mid3rd,103567,182.70,21.29,55,240,516.35,255.38,87.18,536.73,18921534.00,18921534.00,479.20,207.86,90.02,232.00
315,CNM16_V_calibrated.png:bot3rd,59966,166.80,30.56,47,247,354.84,215.17,99.61,414.01,10002577.00,10002577.00,710.00,266.93,90.00,231.96
316,CNM16_V_calibrated.png:whole_wing,247948,174.90,24.65,47,247,646.23,488.52,0.69,694.76,43367081.00,43367081.00,247.21,500.18,0.21,533.08
317,CNM17_V_calibrated.png:edge3rd,93199,139.45,31.68,45,230,520.97,227.78,92.22,555.04,12996880.00,12996880.00,323.48,229.09,97.03,238.00
318,CNM17_V_calibrated.png:mid3rd,118196,172.43,26.94,56,236,584.76,257.35,86.02,581.17,20380333.00,20380333.00,392.80,779.66,66.01,238.00
319,CNM17_V_calibrated.png:bot3rd,69777,160.57,27.70,47,237,405.53,219.08,89.25,455.71,11203912.00,11203912.00,639.85,704.02,79.17,237.05
320,CNM17_V_calibrated.png:whole_wing,280631,158.53,32.12,45,237,678.16,526.88,13.05,712.06,44488360.00,44488360.00,155.00,449.96,179.73,556.41
321,CNM18_V_calibrated.png:edge3rd,69879,142.56,28.08,50,231,451.75,196.95,93.75,486.04,9962166.00,9962166.00,335.95,274.15,97.24,214.81
322,CNM18_V_calibrated.png:mid3rd,94617,169.05,28.33,45,242,525.64,229.19,84.40,529.16,15995314.00,15995314.00,399.00,755.42,66.24,215.00
323,CNM18_V_calibrated.png:bot3rd,54647,163.43,26.54,47,229,353.44,196.86,90.30,407.97,8930769.00,8930769.00,629.19,670.86,78.72,214.49
324,CNM18_V_calibrated.png:whole_wing,219143,159.20,30.14,45,242,604.02,461.94,16.73,644.31,34888249.00,34888249.00,184.19,478.46,0.22,495.36
325,CNM19_V_calibrated.png:edge3rd,82420,120.36,33.51,36,220,489.88,214.22,92.62,520.93,9919919.00,9919919.00,334.85,246.06,96.19,228.13
326,CNM19_V_calibrated.png:mid3rd,107500,155.65,31.17,44,224,553.16,247.44,86.07,544.02,16732068.00,16732068.00,393.68,765.57,65.97,229.00
