 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
303,CCM8_D_calibrated.png:bot3rd,52895,76.19,24.66,30,240,289.27,232.82,65.45,350.59,4030280.00,4030280.00,228.77,621.49,45.62,252.73
304,CCM8_D_calibrated.png:whole_wing,222176,70.53,36.57,16,240,690.52,409.67,178.02,757.67,15670549.00,15670549.00,221.27,613.45,179.76,443.50
305,CCM9_D_calibrated.png:edge3rd,72239,82.51,43.26,15,241,381.68,240.98,107.50,442.12,5960460.00,5960460.00,688.00,365.80,118.31,256.79
306,CCM9_D_calibrated.png:mid3rd,107829,82.29,45.07,27,247,480.51,285.72,88.83,472.53,8873180.00,8873180.00,433.53,762.39,58.24,257.00
307,CCM9_D_calibrated.png:bot3rd,54201,78.29,20.47,28,213,297.11,232.27,59.73,364.68,4243147.00,4243147.00,186.03,687.56,47.37,256.56
308,CCM9_D_calibrated.png:whole_wing,233503,81.40,40.11,15,247,705.83,421.21,177.85,768.34,19007725.00,19007725.00,176.44,666.82,179.89,448.32
309,CNM10_D_calibrated.png:edge3rd,75420,96.31,35.18,26,245,405.65,236.72,104.91,449.17,7263384.00,7263384.00,692.00,359.52,115.90,260.52
310,CNM10_D_calibrated.png:mid3rd,110605,115.61,47.11,39,249,484.86,290.45,88.76,480.94,12786725.00,12786725.00,431.39,763.58,57.24,261.00
311,CNM10_D_calibrated.png:bot3rd,57080,121.12,25.01,45,247,299.99,242.26,68.55,369.90,6913527.00,6913527.00,174.00,680.15,45.77,260.12
312,CNM10_D_calibrated.png:whole_wing,242758,110.88,40.50,26,249,718.95,429.92,176.75,780.65,26916238.00,26916238.00,171.88,676.61,0.21,459.29
313,CNM11_D_calibrated.png:edge3rd,67525,90.59,38.75,23,241,388.17,221.49,104.00,430.12,6116947.00,6116947.00,687.00,377.67,114.60,243.14
314,CNM11_D_calibrated.png:mid3rd,102504,112.00,46.80,40,244,481.15,271.25,90.81,470.55,11480047.00,11480047.00,594.99,337.14,101.40,244.00
315,CNM11_D_calibrated.png:bot3rd,52521,125.68,29.72,48,234,298.10,224.32,69.87,361.50,6601003.00,6601003.00,204.72,681.48,48.55,243.06
316,CNM11_D_calibrated.png:whole_wing,222130,108.75,42.94,23,244,670.44,421.85,173.87,729.21,24155884.00,24155884.00,200.94,676.82,179.79,446.07
317,CNM12_D_calibrated.png:edge3rd,80526,74.50,40.69,18,228,409.68,250.26,104.67,450.62,5999156.00,5999156.00,687.00,362.65,119.15,266.41
318,CNM12_D_calibrated.png:mid3rd,113649,94.09,51.02,31,235,487.94,296.56,88.41,481.69,10693035.00,10693035.00,422.25,764.53,56.52,267.00
319,CNM12_D_calibrated.png:bot3rd,55765,93.59,31.07,36,245,301.09,235.82,62.23,369.94,5218880.00,5218880.00,175.55,693.18,48.23,267.00
320,CNM12_D_calibrated.png:whole_wing,249158,87.62,44.86,18,245,732.21,433.26,178.20,798.41,21831800.00,21831800.00,155.00,652.79,179.73,462.01
321,CNM13_D_calibrated.png:edge3rd,78865,82.45,40.62,19,239,408.92,245.56,105.09,450.32,6502147.00,6502147.00,689.84,360.14,117.82,267.98
322,CNM13_D_calibrated.png:mid3rd,112960,96.23,47.31,29,242,483.83,297.27,88.37,480.10,10870509.00,10870509.00,420.00,759.51,56.10,268.00
323,CNM13_D_calibrated.png:bot3rd,54076,96.25,23.92,38,206,296.15,232.49,56.69,372.80,5204920.00,5204920.00,159.16,687.65,45.38,267.05
324,CNM13_D_calibrated.png:whole_wing,245565,91.79,41.54,19,242,726.19,430.56,178.29,802.03,22540469.00,22540469.00,153.95,676.75,0.04,458.40
325,CNM14_D_calibrated.png:edge3rd,83366,84.87,35.20,22,229,420.08,252.68,105.56,470.56,7075081.00,7075081.00,698.00,349.68,118.60,274.51
326,CNM14_D_calibrated.png:mid3rd,122721,103.89,43.68,35,246,511.30,305.60,89.12,503.18,12749397.00,12749397.00,424.91,772.14,57.23,275.00
