 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
281,CNM28_D_calibrated.png:cream,31340,205.63,28.99,109,251,345.95,646.59,252.75,157.88,121.80,796.60,6444457,6444457,115,413,138.87,452.26
282,CNM28_D_calibrated.png:brown,255205,93.15,43.64,0,238,374.12,693.39,750.98,432.68,133.57,810.79,23771265,23771265,148,361,133.10,462.34
283,CNM29_D_calibrated.png:wing,248760,116.41,41.18,30,251,738.48,732.02,733.22,431.97,131.98,806.15,28956958,28956958,530,401,134.40,460.71
284,CNM29_D_calibrated.png:cream,24615,209.20,27.99,118,251,738.60,694.44,216.98,144.44,122.15,784.89,5149422,5149422,529,416,135.00,455.87
285,CNM29_D_calibrated.png:brown,248760,95.70,40.97,0,226,738.45,740.15,733.22,431.97,131.98,806.15,23807536,23807536,530,401,134.40,460.71
286,CNM2_D_calibrated.png:wing,255418,139.01,40.36,28,251,470.64,714.57,723.91,449.24,126.97,783.93,35506669,35506669,321,351,121.28,480.60
287,CNM2_D_calibrated.png:cream,36188,210.82,26.46,131,251,492.43,709.26,263.63,174.77,119.32,772.53,7629093,7629093,346,341,117.86,472.24
288,CNM2_D_calibrated.png:brown,255418,109.14,51.43,0,239,464.68,716.03,723.91,449.24,126.97,783.93,27877576,27877576,321,351,121.28,480.60
289,CNM30_D_calibrated.png:wing,240528,97.12,38.57,30,249,807.46,686.82,719.01,425.93,122.74,782.48,23360698,23360698,654,325,124.48,459.38
290,CNM30_D_calibrated.png:cream,14723,204.20,28.86,102,249,784.88,642.66,164.97,113.63,123.18,767.48,3006372,3006372,653,330,121.41,440.21
291,CNM30_D_calibrated.png:brown,240528,84.62,34.00,0,231,810.79,693.35,719.01,425.93,122.74,782.48,20354326,20354326,654,325,124.48,459.38
292,CNM31_D_calibrated.png:wing,232741,106.43,42.11,25,248,787.24,715.68,709.40,417.73,131.36,773.70,24770983,24770983,568,394,136.05,443.33
293,CNM31_D_calibrated.png:cream,21796,205.74,28.77,122,248,783.29,693.99,200.29,138.56,132.55,698.18,4484416,4484416,531,534,147.22,431.39
294,CNM31_D_calibrated.png:brown,232741,87.16,38.24,0,215,788.12,720.48,709.40,417.73,131.36,773.70,20286567,20286567,568,394,136.05,443.33
