 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
117,C19M5_D_calibrated.png:edge3rd,97024,151.77,44.84,35,242,549.50,224.81,89.74,573.64,14725552.00,14725552.00,364.33,201.99,92.63,233.21
118,C19M5_D_calibrated.png:mid3rd,119022,136.07,37.12,53,249,579.74,261.40,90.56,573.78,16195294.00,16195294.00,395.39,201.35,90.11,234.00
119,C19M5_D_calibrated.png:bot3rd,71581,156.48,42.11,51,249,402.75,226.29,88.42,443.40,11201149.00,11201149.00,629.02,267.15,90.01,233.50
120,C19M5_D_calibrated.png:whole_wing,287056,146.47,42.06,35,249,677.22,539.69,176.44,699.71,42044104.00,42044104.00,161.79,465.73,0.21,565.02
121,C19M6_D_calibrated.png:edge3rd,82687,90.62,29.23,23,198,492.42,213.80,87.57,538.49,7492972.00,7492972.00,398.65,726.08,81.67,231.17
122,C19M6_D_calibrated.png:mid3rd,121434,96.67,25.76,36,203,598.73,258.24,92.50,583.69,11738708.00,11738708.00,479.00,196.03,112.72,232.00
123,C19M6_D_calibrated.png:bot3rd,55900,99.90,36.04,24,222,356.42,199.69,96.32,454.48,5584272.00,5584272.00,710.00,725.38,89.94,231.20
124,C19M6_D_calibrated.png:whole_wing,259048,95.42,29.54,23,222,623.34,529.14,167.17,692.38,24719547.00,24719547.00,248.83,492.85,179.69,549.51
125,C19M7_D_calibrated.png:edge3rd,77111,87.43,34.50,21,200,477.56,205.59,87.20,522.79,6741681.00,6741681.00,333.16,726.62,84.09,222.33
126,C19M7_D_calibrated.png:mid3rd,112719,90.78,34.39,33,231,576.70,248.86,92.23,564.43,10232759.00,10232759.00,388.30,205.73,112.97,223.00
127,C19M7_D_calibrated.png:bot3rd,68543,112.57,47.59,29,247,404.92,215.53,92.67,460.63,7715548.00,7715548.00,608.61,273.05,101.00,222.87
128,C19M7_D_calibrated.png:whole_wing,257410,95.56,39.73,21,247,640.51,511.70,161.78,666.21,24597384.00,24597384.00,164.67,496.50,179.95,528.33
129,C19M8_D_calibrated.png:edge3rd,81974,92.18,31.31,23,223,485.62,214.93,87.21,520.46,7556359.00,7556359.00,352.96,196.08,93.99,224.20
130,C19M8_D_calibrated.png:mid3rd,114138,93.78,32.33,35,217,581.56,249.89,93.41,581.94,10703447.00,10703447.00,392.02,195.94,112.50,225.00
131,C19M8_D_calibrated.png:bot3rd,67725,114.01,43.64,29,246,405.32,212.75,92.00,456.54,7721575.00,7721575.00,616.00,283.97,98.58,224.68
132,C19M8_D_calibrated.png:whole_wing,263837,98.48,36.46,23,246,658.24,510.35,158.52,673.90,25981381.00,25981381.00,166.80,498.49,179.57,520.06
133,C19M9_D_calibrated.png:edge3rd,80759,98.26,41.81,25,217,492.33,208.85,90.95,522.11,7935506.00,7935506.00,362.95,224.31,93.63,220.72
134,C19M9_D_calibrated.png:mid3rd,102906,95.98,31.54,43,219,531.12,246.69,90.31,523.58,9876861.00,9876861.00,396.00,229.08,114.93,221.00
135,C19M9_D_calibrated.png:bot3rd,62673,113.49,41.95,33,243,363.21,219.70,88.35,409.48,7112756.00,7112756.00,617.00,703.41,90.00,220.31
136,C19M9_D_calibrated.png:whole_wing,246747,101.18,38.58,25,243,641.99,489.36,174.22,662.05,24964826.00,24964826.00,175.28,463.72,0.35,506.43
137,CCM10_D_calibrated.png:edge3rd,19,76.21,14.99,50,103,75.30,0.32,47.97,297.00,1448.00,1448.00,390.99,596.37,48.19,1.00
138,CCM10_D_calibrated.png:mid3rd,96324,99.08,31.30,24,224,623.97,196.55,91.95,647.42,9543500.00,9543500.00,424.97,174.69,90.93,205.47
139,CCM10_D_calibrated.png:bot3rd,154935,83.50,32.13,21,245,596.27,330.84,81.05,657.48,12936605.00,12936605.00,438.72,180.35,96.58,340.91
140,CCM10_D_calibrated.png:whole_wing,251259,89.47,32.70,21,245,622.88,513.60,77.30,1021.66,22480105.00,22480105.00,-243.75,425.70,0.10,633.64
141,CCM11_D_calibrated.png:edge3rd,74636,73.95,22.94,23,203,471.63,201.49,89.79,506.83,5519475.00,5519475.00,479.42,736.73,89.71,217.21
142,CCM11_D_calibrated.png:mid3rd,99378,88.86,32.74,38,218,518.39,244.09,89.82,508.93,8830261.00,8830261.00,482.23,736.39,87.56,218.00
143,CCM11_D_calibrated.png:bot3rd,55052,103.70,38.01,24,224,344.88,203.24,91.33,385.30,5708687.00,5708687.00,698.97,285.18,90.15,217.47
144,CCM11_D_calibrated.png:whole_wing,228178,87.58,33.31,23,224,609.20,476.89,0.36,650.69,19984593.00,19984593.00,264.79,462.45,179.82,492.16
145,CCM12_D_calibrated.png:edge3rd,0,NaN,0.00,NaN,NaN,0.00,0.00,0.00,3.16,NaN,NaN,-239.31,459.26,69.44,1.00
146,CCM12_D_calibrated.png:mid3rd,117268,81.35,29.67,16,216,669.87,222.89,91.17,690.86,9539591.00,9539591.00,430.95,152.76,91.41,225.35
147,CCM12_D_calibrated.png:bot3rd,166187,69.38,36.92,17,248,627.35,337.29,84.35,706.52,11530373.00,11530373.00,455.34,858.35,80.32,344.65
148,CCM12_D_calibrated.png:whole_wing,282781,74.35,34.64,16,248,661.83,544.02,81.16,1031.76,21024392.00,21024392.00,-240.09,458.63,0.34,682.65
149,CCM13_D_calibrated.png:edge3rd,2,0.00,0.00,0,0,2.60,0.98,135.00,631.00,0.00,0.00,-175.34,530.03,122.09,1.00
150,CCM13_D_calibrated.png:mid3rd,140241,77.61,32.04,25,227,540.73,330.22,86.74,1008.14,10884205.00,10884205.00,215.74,1155.89,74.19,337.41
151,CCM13_D_calibrated.png:bot3rd,127282,93.49,43.37,28,249,526.42,307.85,103.42,604.47,11900220.00,11900220.00,507.12,186.13,111.32,337.27
152,CCM13_D_calibrated.png:whole_wing,267525,85.17,38.68,0,249,659.65,516.37,151.31,1012.63,22784425.00,22784425.00,-175.34,530.03,179.71,733.39
153,CCM14_D_calibrated.png:edge3rd,87483,69.08,30.32,18,198,532.65,209.12,89.45,557.31,6043243.00,6043243.00,373.05,210.60,92.98,226.97
154,CCM14_D_calibrated.png:mid3rd,110838,80.01,29.78,30,210,554.84,254.35,89.28,552.60,8868654.00,8868654.00,402.50,767.48,89.51,227.00
155,CCM14_D_calibrated.png:bot3rd,60463,92.22,34.55,23,246,362.37,212.45,93.31,417.71,5575737.00,5575737.00,628.17,274.93,90.08,227.00
156,CCM14_D_calibrated.png:whole_wing,257819,79.19,32.34,18,246,633.95,517.81,178.09,678.98,20415889.00,20415889.00,175.03,465.95,0.22,539.52
157,CCM15_D_calibrated.png:edge3rd,77386,80.46,31.17,21,218,474.18,207.79,86.93,504.58,6226669.00,6226669.00,346.33,717.99,83.67,218.19
158,CCM15_D_calibrated.png:mid3rd,102313,88.08,32.45,34,224,535.15,243.43,92.41,532.28,9011645.00,9011645.00,402.00,216.52,114.30,219.00
